,acronym,wiki_counts,inss_counts,fauda_counts,teheran_counts,total_counts
390,"התשנ""ו",9.0,0.0,0.0,0.0,9.0
391,"הבג""צים",6.0,1.0,0.0,0.0,7.0
392,"ב""מוצא",14.0,0.0,0.0,0.0,14.0
393,"תשכ""ו",77.0,0.0,0.0,0.0,77.0
394,"ב""הבימה",20.0,0.0,0.0,0.0,20.0
395,"ו""ערב",7.0,0.0,0.0,0.0,7.0
396,"מ""ל",83.0,0.0,0.0,0.0,83.0
397,"תרס""ו",35.0,0.0,0.0,0.0,35.0
398,"ו""מי",7.0,0.0,0.0,0.0,7.0
399,"כ""פרשת",6.0,0.0,0.0,0.0,6.0
400,"אחה""צ",16.0,0.0,1.0,0.0,17.0
401,"ב""עושר",7.0,0.0,0.0,0.0,7.0
402,"ב""מועצת",9.0,1.0,0.0,0.0,10.0
403,"הנוע""ל",10.0,0.0,0.0,0.0,10.0
404,"ב""חדר",34.0,0.0,0.0,0.0,34.0
405,"התשכ""ח",8.0,0.0,0.0,0.0,8.0
406,"מח""ל",60.0,0.0,0.0,0.0,60.0
407,"תש""מ",44.0,0.0,0.0,0.0,44.0
408,"ה""מכבי",10.0,0.0,0.0,0.0,10.0
409,"כ""ט",131.0,0.0,0.0,0.0,131.0
410,"ו""ריקוד",9.0,0.0,0.0,0.0,9.0
411,"דוב""ב",7.0,0.0,0.0,0.0,7.0
412,"הר""ש",9.0,0.0,0.0,0.0,9.0
413,"בנח""ל",47.0,0.0,0.0,0.0,47.0
414,"הליש""ט",8.0,0.0,0.0,0.0,8.0
415,"המכ""מים",16.0,1.0,0.0,1.0,18.0
416,"כ""ס",93.0,1.0,0.0,0.0,94.0
417,"ח""נ",29.0,0.0,0.0,0.0,29.0
418,"הבג""ץ",6.0,0.0,0.0,0.0,6.0
419,"מל""טים",15.0,31.0,0.0,0.0,46.0
420,"מנכ""ל",483.0,43.0,0.0,0.0,526.0
421,"ב""היום",7.0,0.0,0.0,0.0,7.0
422,"מכ""מים",32.0,4.0,0.0,0.0,36.0
423,"סט""י",11.0,0.0,0.0,0.0,11.0
424,"האב""כ",23.0,0.0,0.0,0.0,23.0
425,"התנכ""י",22.0,0.0,0.0,0.0,22.0
426,"ל""שיר",12.0,0.0,0.0,0.0,12.0
427,"למנכ""ל",113.0,4.0,0.0,0.0,117.0
428,"לל""ג",10.0,0.0,0.0,0.0,10.0
429,"ו""סיפור",6.0,0.0,0.0,0.0,6.0
430,"ה""שפת",9.0,0.0,0.0,0.0,9.0
431,"ה""לב",6.0,0.0,0.0,0.0,6.0
432,"עב""מים",26.0,0.0,0.0,0.0,26.0
433,"ש""יש",11.0,1.0,0.0,0.0,12.0
434,"כ""בן",7.0,0.0,0.0,0.0,7.0
435,"רש""ר",29.0,0.0,0.0,0.0,29.0
436,"בי""ג",37.0,0.0,0.0,0.0,37.0
437,"רש""י",771.0,0.0,0.0,0.0,771.0
438,"זק""א",64.0,0.0,0.0,0.0,64.0
439,"שח""ר",13.0,0.0,0.0,0.0,13.0
440,"לימ""מ",16.0,0.0,0.0,0.0,16.0
441,"ו""רוח",6.0,0.0,0.0,0.0,6.0
442,"ו""אל",26.0,0.0,0.0,0.0,26.0
