base_acronym,acronym,wiki_counts,inss_counts,fauda_counts,teheran_counts,total_counts,n_united
"התשכ""ח","['התשכ""ח']",8.0,0.0,0.0,0.0,8.0,1
"התשל""ג","['התשל""ג']",5.0,0.0,0.0,0.0,5.0,1
"התשל""ז","['התשל""ז']",10.0,0.0,0.0,0.0,10.0,1
"התשמ""א","['התשמ""א']",20.0,0.0,0.0,0.0,20.0,1
"התשמ""ב","['התשמ""ב']",7.0,0.0,0.0,0.0,7.0,1
"התשמ""ד","['התשמ""ד']",7.0,0.0,0.0,0.0,7.0,1
"התשמ""ה","['התשמ""ה']",4.0,0.0,0.0,0.0,4.0,1
"התשמ""ו","['התשמ""ו']",6.0,0.0,0.0,0.0,6.0,1
"התשמ""ח","['התשמ""ח']",4.0,0.0,0.0,0.0,4.0,1
"התשנ""ב","['התשנ""ב']",9.0,0.0,0.0,0.0,9.0,1
"התשנ""ג","['התשנ""ג']",4.0,0.0,0.0,0.0,4.0,1
"התשנ""ד","['התשנ""ד']",11.0,1.0,0.0,0.0,12.0,1
"התשנ""ו","['התשנ""ו']",9.0,0.0,0.0,0.0,9.0,1
"התשנ""ח","['התשנ""ח']",13.0,0.0,0.0,0.0,13.0,1
"התשנ""ט","['התשנ""ט']",5.0,0.0,0.0,0.0,5.0,1
"התשס""א","['התשס""א']",9.0,0.0,0.0,0.0,9.0,1
"התשס""ב","['התשס""ב']",11.0,1.0,0.0,0.0,12.0,1
"התשס""ג","['התשס""ג']",7.0,0.0,0.0,0.0,7.0,1
"התשס""ד","['התשס""ד']",4.0,0.0,0.0,0.0,4.0,1
"התשס""ה","['התשס""ה']",17.0,0.0,0.0,0.0,17.0,1
"התשס""ו","['התשס""ו']",15.0,0.0,0.0,0.0,15.0,1
"התשס""ז","['התשס""ז']",5.0,0.0,0.0,0.0,5.0,1
"התשס""ח","['התשס""ח']",24.0,1.0,0.0,0.0,25.0,1
"התשע""א","['התשע""א']",6.0,0.0,0.0,0.0,6.0,1
"התשע""ב","['התשע""ב']",4.0,1.0,0.0,0.0,5.0,1
"התשע""ג","['התשע""ג']",8.0,0.0,0.0,0.0,8.0,1
"התשע""ד","['התשע""ד']",9.0,0.0,0.0,0.0,9.0,1
"התשע""ה","['התשע""ה']",4.0,0.0,0.0,0.0,4.0,1
"התשע""ו","['התשע""ו']",9.0,1.0,0.0,0.0,10.0,1
"התשע""ז","['התשע""ז']",6.0,1.0,0.0,0.0,7.0,1
"התשע""ח","['התשע""ח']",6.0,1.0,0.0,0.0,7.0,1
"התשע""ט","['התשע""ט']",11.0,0.0,0.0,0.0,11.0,1
"התשפ""ב","['התשפ""ב']",10.0,0.0,0.0,0.0,10.0,1
"ו""ג","['ו""ג']",23.0,0.0,0.0,0.0,23.0,1
"ו""ה","['ו""ה']",4.0,0.0,0.0,0.0,4.0,1
"ו""ו","['ו""ו']",13.0,0.0,0.0,0.0,13.0,1
